"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2008","1,304.3","1,332.2","1,332.2","1,303.4","","-2.20%"
"03/05/2008","1,333.7","1,327.7","1,344.2","1,320.2","","0.52%"
"03/04/2008","1,326.8","1,329.6","1,331.0","1,307.4","","-0.34%"
"03/03/2008","1,331.3","1,330.4","1,335.1","1,320.0","","0.05%"
"02/29/2008","1,330.6","1,364.1","1,364.1","1,325.4","","-2.71%"
"02/28/2008","1,367.7","1,378.2","1,378.2","1,363.2","","-0.89%"
"02/27/2008","1,380.0","1,378.9","1,388.3","1,372.0","","-0.09%"
"02/26/2008","1,381.3","1,371.8","1,387.3","1,363.3","","0.69%"
"02/25/2008","1,371.8","1,352.8","1,374.4","1,346.0","","1.38%"
"02/22/2008","1,353.1","1,344.2","1,354.3","1,327.0","","0.79%"
"02/21/2008","1,342.5","1,362.2","1,367.9","1,339.3","","-1.29%"
"02/20/2008","1,360.0","1,348.4","1,363.7","1,336.6","","0.83%"
"02/19/2008","1,348.8","1,355.9","1,367.3","1,345.1","","-0.09%"
"02/15/2008","1,350.0","1,347.5","1,350.0","1,338.1","","0.08%"
"02/14/2008","1,348.9","1,367.3","1,368.2","1,347.3","","-1.34%"
"02/13/2008","1,367.2","1,353.1","1,369.2","1,350.8","","1.36%"
"02/12/2008","1,348.9","1,340.6","1,362.1","1,339.4","","0.73%"
"02/11/2008","1,339.1","1,331.9","1,341.4","1,320.3","","0.59%"
"02/08/2008","1,331.3","1,336.9","1,341.2","1,321.1","","-0.42%"
"02/07/2008","1,336.9","1,324.0","1,347.2","1,316.8","","0.79%"
"02/06/2008","1,326.4","1,339.5","1,352.0","1,324.3","","-0.76%"
"02/05/2008","1,336.6","1,380.3","1,380.3","1,336.6","","-3.20%"
"02/04/2008","1,380.8","1,395.4","1,395.4","1,379.7","","-1.05%"
"02/01/2008","1,395.4","1,378.6","1,396.0","1,375.9","","1.22%"
"01/31/2008","1,378.6","1,352.0","1,385.6","1,334.1","","1.68%"
"01/30/2008","1,355.8","1,362.2","1,385.9","1,352.9","","-0.48%"
"01/29/2008","1,362.3","1,355.9","1,364.9","1,350.2","","0.62%"
"01/28/2008","1,354.0","1,330.7","1,354.0","1,322.3","","1.75%"
"01/25/2008","1,330.6","1,357.3","1,368.6","1,327.5","","-1.59%"
"01/24/2008","1,352.1","1,340.1","1,355.2","1,334.3","","1.01%"
"01/23/2008","1,338.6","1,310.4","1,339.1","1,270.1","","2.14%"
"01/22/2008","1,310.5","1,312.9","1,322.1","1,274.3","","-1.11%"
"01/18/2008","1,325.2","1,333.9","1,350.3","1,312.5","","-0.60%"
